reviews,reviewer_country,review_date,review_rating,verified
recent experience british airway horrendous utter abdication responsibility part arrived jfk ready flight malaga find cancelled zero notice draining 2hour altercation finally placed different flight nightmare continued landed malaga sans luggage containing essential son wedding thirty agonizing hour later bag showed up—but brandnew ipad special watch nephew missing item werent merely valuable emotional significance made loss even gutwrenching youd think reputable airline would make amends error despite clear mishandling baggage team refused offer reimbursement even modest amount airline credit customer service ineffective also astonishingly callous response essence fault trusting u belonging isnt poor customer service complete disregard basic human decency responsibility british airway numerous opportunity right wrong chose respect time belonging emotional wellbeing avoid british airway cost fail deliver promise also refuse make amends err leaving customer bear brunt incompetence,United States,9/1/2023,1,TRUE
express displeasure concern regarding flight italy trip effectively ruined failure luggage arrive u coupled length time took eventually reach u 9 12 day departure date june 19 2023 flight ba 294 chicago london june 20 rebooked ba ba 546 london rome flight late arrival rome wife forced walk checkin desk reservation wheelchair assist plane never transferred ba told cabin crew reservation transport also checked baggage 2 failed make ba rebooked flight london rome ba took 9 day deliver bag 12 day deliver wife called ba baggage claim service daily frequently cut waiting hold hour apple air tag bag sent picture showing exact location ba baggage claim several time 5 day ba stated found wife bag needed verify ownership bag described bright pink 4 ” easily visible tag bright pink bow taking 9 12 day deliver inexcusable return date july 3 ba 553 rome london ba 297 london chicago flight late arrived chicago 3 hour late missing ground transportation home michigan 3 hour away find hotel stay overnight near chicago july 12 filed expense replacement lost clothing toiletry also food purchased heathrow due flight delay overnight hotel charge chicago 2 week went online asking followup case response ba retiree fixed income fund ba ’ error honestly say time able reach human courteous attempted help appeared loss,United States,8/31/2023,1,TRUE
flew london malaga 27 august club europe stood around gate b45 terminal 5 hour staff giving different reason delay late inbound aircraft etc plane boarded sitting hour boarding captain stated changed plane would meal served club europe received one small packet crisp throughout flight effort apologise smelt hot meal pilot heated saw served club europe meal tray cabin crew also warmed pastry quick use air freshener front galley customer received zilch ba sent email following morning say sorry nothing else complete utter rip airline already cutting back many thing paid full business class fare receive part onboard meal service expect email sufficient avoid ba option nowadays worst europe,United Kingdom,8/30/2023,1,TRUE
arrived airport 25 hour takeoff time get checked go security etc went without issue relatively early gate one first passenger time boarding opened first business class got called family child disabled people couple minute boarding started call people one one name announcement ’ let anyone anymore fifty people still standing gate let reason said plane short staffed later discovered speaking manager flight short staffed also overbooked announcement people getting angry ’ let anymore nothing changed everyone sent away connecting flight later day going miss let plane first tried get luggage back ’ receive immediately got hold later thanks airport personnel like everyone going fly plane wanted talk someone british airway since ’ service center frankfurt airport everyone went checkin counter received food voucher single person either able rebook anyone ’ flight get anyone refunded staff said going receive email couple hour option rebook flight get refund waited four hour email airport come today trying call airline help either answer phone hung middle conversation four hour waiting email people flight went back checkin counter get confirmation receive refund new shift personell know happened scanned passport looked flight found system dying fault could attend flight looked like missed everyone standing exactly people counter said could anything later able speak manager many phone call said going take care supposed get email point future able get written confirmation get refunded even several time asking already flew lot time life never ever thing happened many people let plane also customer service horrible able rebook confirm refund way end option get destination would book last minute flight lot money would know ever got backed,Germany,8/30/2023,1,TRUE
filthy plane cabin staff ok appalling customer service staff ’ care le dealing complaint paid extra club europebusiness class food poor gave wipe clean seat area split could accommodate family really expect pay extra service cancelling booking ba even mean lose deposit,United Kingdom,8/28/2023,1,TRUE
chaos terminal 5 ba cancellation delay staff give different reason depending ask 9 10 answer lie sadly ba airport standard t5 worse ever long past able use covid excuse short haul club europe trip expect little ba barely even provide cutback covid permanent find alternative carrier route choose rather ba sadly route ba monopoly,United Kingdom,8/27/2023,3,TRUE
ba cancelled flight could book u onto flight next 4 day spend £5k expense get u back another airline 2 month later still waiting reimbursement response 3 written complaint even call centre staff tell head office taken telephone number email department deal even escalate inquire utterly useless,United Kingdom,8/27/2023,1,FALSE
way heathrow airport merely 2 half hour scheduled departure received sm stating flight johannesburg canceled reason given put flight one day later choice offered already airport proceeded check ask caused cancellation apparently pilot sick nobody available standby could business class checkin desk assistant unsympathetic told u could check bag following day found someone else told u could check 24 hr prior departure waited airport 2 hour checked went back home offered refund told claim extra expense incurred train change fee connecting flight zimbabwe loss one night stay expensive safari lodge etc offered anything snooty unprofessional uncaring disorganised lack service avoid british airway find better cheaper option,United Kingdom,8/27/2023,1,TRUE
nice flight good crew good seat food would expect aircraft new style business class seatssuite actual plane new since word part seat broken missing however seat still sat well worked seat also long enough really lay get sleep video system worked great plenty content headphone however cheap didnt feel work particular good layout 773 lot business class seat lot sat forward cabin enter aircraft turn left cabin quieter part aircraft crew nice entire time need want might one draw back seat traveling couple middle divider didnt open enough really feel like mate traveling together lhr crowded expansive good lounge visit completely time flight,United States,8/26/2023,8,TRUE
8 month passed still wasting time ba team sharing document flight delhi london got delayed december 2022 missed connecting flight london heathrow vancouver ba put u flight 24 hour reaching vancouver told baggage lost horrible experience customer relation person even look detail already shared december january april july,Canada,8/26/2023,1,TRUE
june flight cancelled within three hour departure given rebooking next day lost suitcase arrived three day later today 25th august 2023 happened offer rebooking two day trying post claim website doesnt work never ba,Denmark,8/25/2023,1,TRUE
ground cabin crew always provide good customer service come catering club class reduced economy flight ba621 ravioli pasta dried along edge slice camembert dried bother serving bread roll white olive bread dry wonder whether anyone ba monitor club class become economy get cry baby noisy child club class ’ glorified soulless bus trip without britishness,United Kingdom,8/24/2023,4,TRUE
family flew washington london british airway a380 able secure seat upper deck pretty hefty fee flight unfortunately delayed 2 hr 2245 0120 causing u miss connection gatwick turin making lounge open time got airport onboard sat window seat nice luggage bin convenient stuff flight entertainment system ’ work well touchscreen disabled controller quite glitchy hard use could use updating food dinner decent pasta tomato sauce tasted good airline standard seat pretty comfortable flight smooth missed connection ’ stuck behind security 2 hr waiting escort rebooked u flight heathrow milan next day gave u free bus ticket heathrow gave u free hotel room gave u dinner breakfast voucher great customer service,United States,8/19/2023,7,TRUE
easy check t5 gallery south north lounge packed able get seat ’ stay long b gate lounge much quieter flight boarded smoothly time a380 upper deck old club world seating beginning age little however like large toilet aircraft type cabin crew fantastic one family tech issue seat entertainment system crew worked hard though sadly without success food drink option good entertainment good overall enjoyable flight,United Kingdom,8/13/2023,8,TRUE
flight delayed hour happens biggie u change gate airport never happened guess ok gate agent asked u check bag telling would prefer anyway second gate agent reassigned seat exit row regular huge squeeze 63 travel bud,United States,8/12/2023,2,FALSE
staff rude trained properly exception made child elderly people price ticket expensive given distance service extremely extremely poor,United Kingdom,8/11/2023,2,FALSE
good domestic flight operated ba cityflyer ground service checkin edinburgh airport particularly friendly helpful flight departed time arrived earlier scheduled complimentary drink snack albeit tiny served generally seems quality cityflyer subsidiary superior mainline british airway flight,United Kingdom,8/8/2023,10,TRUE
failed basic travel fundamental 1 flight delayed 2 staff demanded check carry luggage even though met carry allowance fact tight bus connection totally ignored 3 staff quite unpleasant,Canada,8/8/2023,1,FALSE
lost baggage simple situation three week dont care communication whatsoever connection checkpoint heathrow 3hrs connecting flight last leg trip agent insists checking hand luggage since plane full lose claim arrival airport immediately three week communication whatsoever online status still “ searching bag ” update conclusion ba male effort find missing bag dont care,Poland,8/8/2023,1,TRUE
late boarding led one hour flight leaving two hour late single ba staff member turned board full flight shortly flight due depart previous announcement delay board captain blamed frankfurt ground staff delaying takeoff clearly late boarding resulted missed departure slot,United Kingdom,8/5/2023,1,TRUE
usual flight delayed ba try blame someone inability incapacity delivering sell dont hire enough personnel fulfil staff demand,United Kingdom,8/4/2023,1,TRUE
fantastic ba flight today cabin crew seat zone 6d best experienced although 777 old style rearfront seating comfortable felt open spacious ba done great thing menu nice eat breakfast food prearrival meal hkg 1730pm local time left london 2200 night dinner offering equally ample delicious inflight entertainment great collection tv current film inflight map first rate previously huge ba fan 12 hour flight could recommend without reserve flew new ba suite j class recent delhi london flight enjoyed product although felt slightly cramped think ba stepped really comfortable bedding food friendly crew engaged throughout flight best way couldnt recommend ba flight today,Hong Kong,8/1/2023,10,TRUE
’ book online arrived check find bumped due overselling ba staff available helpful gatwick staff got u bus lhr flight toulouse knock effect car booking sharing rest family able yo board original flight airline legally stopped selling seat twice,United Kingdom,7/31/2023,1,TRUE
london heathrow mumbai boeing 7878 business class lounge near terminal 5 gate b36 heathrow outstanding service offering provides u right frame relax boarding departure delayed almost 2 hour 7878 flight featured older club world seating best class comfortable enough hear new club suite configuration far superior british airway onboard service outstanding every respect comfortable flight one minor irritant reason aircraft fitted wifi got mumbai 8 civilized time arrive,Iceland,7/31/2023,9,TRUE
keflavík iceland london heathrow a320 business class journey got unpleasant note business class line keflavík long looked like economy class checkin took 30 min get lounge access offered boarding process well handled british airway business class seat club europe product terrible exactly economy middle seat left vacant dont even get extra pitch made overall product tolerable good onboard service inflight wifi also fact flight leaf convenient midmorning time 1040,Iceland,7/31/2023,6,TRUE
terrible experience british airway booked flight ba travel gibraltar london heathrow may 10 2023 flight scheduled leave 400 pm afternoon originally planned leaving luggage heathrow upon arrival travelling visit overnight cousin place en route gib airport hour prior departure checked flight detail found flight cancelled connecting flight booked westjet london heathrow vancouver following day make flight imperative got london checked ba website couldnt find flight would work unfortunately made mistake requesting refund managed find flight malaga got london 1000 pm booked called british airway wanted discus compensation thats advised requested refund used phrase abandoned travel prepared anything apparently called first would made arrangement course dont explain website ask want refund proceed even plead case agent malaga airport followed customer relation several time via email flat refused budge used travel voucher cover cost flight used avios cover cost checked baggage word pocket cost trip incident happened ended spending 660 euro airfare checked baggage charge get london malaga ie different airport one originally booked luggage storage facility heathrow closed time eventually arrived ended booking night hotel since couldnt travel train cousin place longer 3 bag tow didnt want put drive airport pick cost another £125 room meal cost ba ended compensate give 5000 free avios mere pittance compared pocket expense despite trying explain requested refund instead calling first wouldnt budge easy say done since work know rule werent one scrambling find alternative travel arrangement within hour pointed website simply instruct customer call situation happens way would never encounter problem feeling put refund option hope customer make mistake wash hand situation ultimately save money ive executive club member year simply didnt care said nothing could im sure one ba executive friend family member gone staff would given instruction make thing right used fan ba really gone downhill opinion used remaining avios travel credit cancel executive club membership never fly,Canada,7/29/2023,1,TRUE
airline life past glory heading future crisis british airway joking family 7 business class heading norwegian arctic cruise lost 10 bag never see flight ever disaster airline,Qatar,7/26/2023,1,TRUE
checkin desk rude dismissive flight late seems new norm one world emerald club world checkin staff uncommunicative know baggage allowance entitled raised politely became argumentative accusatory,United Kingdom,7/26/2023,2,TRUE
chose british airway especially going travel niece nephew wanted everything work well disaster first took two hour checkin online due technical problem also spend 20 minute call uk number spanish cell phone ’ service provide weekend airport boarding time wait rest people almost two hour standing line without knowing going told u wait finally could access plane 40 minute inside told u leave plane told u flight cancelled take luggage queue couple hour check wait another flight take delayed spent almost 12 hour airport information provided solution offered seat last raw paid seat first half plane money refunded apologizes compensation given also prepurchased food ’ provide service terrible never,Spain,7/25/2023,1,TRUE
booked premium economy inv lax via lhr notified cancelled flight return journey rebooked flight connecting flight arrived late cancelled flight journey lax cancelled rebooked flight return journey rebooking back first flight rebooked flight chance making return flight arrives late lhr rerouted lax jfk lhr would accepted booked journey economy lax jfk husband 64 knee injury wont change even though direct flight lax lhr premium economy unacceptable flight allows u 54 min transfer flight jfk husband wont able walk slowly let alone quickly enduring 6hour flight lax lhr chatted call disconnected also online chat prof accept rerouted flight jfk wont budge,United Kingdom,7/24/2023,1,FALSE
simple story unfortunate outcome really could happen anyone partner recently started working studying purchased two ticket travel london city airport frankfurt purchased ticket mistakenly entered name twice eg mr john smith m john smith little know 1 simple mistake would cost u 300 pound upon arriving airport told way change name apparently change 3 letter typo option purchase last remaining ticket wanted board flight price almost seven time higher original ticket zero empathy shown zero alternative offered trusting ba staff pretence apparently way could board flight bought ticket immediately purchased ticket contacted ba commercial change booking team informed situation service representative apologised told could changed name cost small fee offered cancel original ticket issue partial refund advising claim difference contact customer support told person several time wanted claim cost new ticket even asked explicitly accepting offer would denied claiming cost new ticket said could claim difference fair enough accepted offer lodged ticket customer support difference two day later british airway customer response informed u unable lodge claim voluntarily accepted cancellation flight theyve continued send generic email week stopped responding short british airway misled deceived partner accepting lowball offer waive right claim refund keep night thinking get away easily,Germany,7/21/2023,1,TRUE
flight delayed due inbound flight arriving late announcement inform delay sceens updated ready board requested take seat quickly help reduce delay people pilot announced received document wrong flight ground staff wait returned get right paperwork resolved pilot announced would delay two push back tractor wait rushing sit quickly sat aircraft gate nearly one hour longer flight take course am ba home base us contracted staff require better level service embarrassing hearing pilot apologise every step way ’ eurostar next time,United Kingdom,7/21/2023,4,TRUE
fast friendly check total contrast gatwick contract lounge comfortable spacious bar pleasant staff pay alcohol one free glass wine food best avoided board great crew dinner actually good quality substantial apart chocolate orange pot seems appear every flight bought global stock crew always ready top drink although white wine beer lukewarm crew explained cart supposed chilled experience rarely dry ice expensive ba cant afford,United Kingdom,7/20/2023,8,FALSE
dont understand british airway classified 4 star airline service really mediocre food untasty insufficient long haul trip member cabin crew friendly attentive enough create basic experience really getting point b without used enjoyable trip making experience inflight entertainment fairly good need bring water get dehydrated snack ideally food perhaps smile otherwise faced cold personality le experience,United Kingdom,7/20/2023,2,TRUE
im sure ba gradually made economy experience ba euroflyer gatwick miserable passenger tempted upgrade lacklustre overpriced business class long wait biz checkin due status dealt bored agent ok third party still representing ba hardly spoke avoided eye contact focussed fingernail lounge crowded grubby least staff pleasant helpful board seat cramped uncomfortable took two hour crew appeared food sale free water gatwick service consists half full plastic cup rather luxury small bottle fellow passenger mentioned delay fact sandwich sale prompted flight attendant say service much better easyjet two service run etc,United Kingdom,7/20/2023,2,FALSE
customer service exist one world emerald frequent long haul flyer including ba never seen poor customer service “ computer say ” official bacom site said morning afternoon flight gatwick delayed 2 hour delayed leaving airport ba change back original time called ba customer service 15 hour prior highway saying situation told worry would note flight rebooked issue go airport got airport 40 min prior told could board staff work ba could help back phone 3 hour total told could rebooked ’ round round ultimately told file complaint found flight left 2 hour delayed paid extra hotel flight competent airline told 38 day wait complaint responded heaven help economy nonstatus flyer ’ front end plane get,United Kingdom,7/18/2023,1,TRUE
another really great pair flight time problem champagne ok meal choice great new club suite good improvement previous seat flight entertainment could better ’ wait fly ba enjoy another great experience,United Kingdom,7/17/2023,9,TRUE
a380 developed fault taxiing runway returned gate flight cancelled 3 hour later due technical fault ba staff virtually nonexistent finally captain announced flight cancelled ba provided alternative next day involving connection much take else arrangement help made overnight accommodation transport finally managed get legal minimum £520 compensation ba 26 hour delay caused journey expense reimbursed even took four week fact business class customer ba pay minimum get away say couldnt care le customer interest loyalty arent bothered business given flight pay ba way id suggest anyone take hard earned cash another airline might least care le customer recommended,United Kingdom,7/17/2023,1,FALSE
horrible airline care customer used decent since really fell flight time 5 hour 30 min meal flight attendant egg sausage back didnt even offer juice would stick another airline,United Kingdom,7/16/2023,2,FALSE
family flown mostly british airway last 30 year priority passenger fly often enough recognise cabin crew know name used really good airline fly thing really deteriorated face face customer care since pandemic aircraft look worn example flight back audiovisual equipment work reset twice finally working last hour landed second time around think reset done whole aircraft touch screen function screen work usb charger port seat work staff pleasant enough service oozed mediocrity seem much pride food worst part ba flight since pandemic gave u menu asked ’ like check told u available run would like choose something else told u ’ get first choice second service ’ deliver finally choosing getting whatever food tasteless take part post flight survey regularly stated avail family 3 fly british airway medium long haul regularly possibly 46 time year u good thing flying ba priority customer usually direct flight destination get good service ground checking lounge use,United Kingdom,7/9/2023,4,TRUE
far worst service plane obvious flying economy frequent traveler british airway care little wait hour even open checkin 5 line one serviced economy even though line economy three time length premium class told economy passenger bag check carryon due full flight room overhead compartment arrived gate enough seat fit everyone couldnt leave boarding area never fly airline,United States,7/9/2023,2,TRUE
nov 2022 booked paid return journey new zealand return journey final flight london edinburgh trying check told ticket ‘ exist ’ showed evidence flight booked paid denied ticket option buy ticket later flight cost £26507 since nov 22 ie 8 month ago communicated multiple time ba attempt money returned admitted responsibility error cost £265 finally received word decided refund sum £3214 asked explanation received none polite e mail informing decision checked correct intend let matter go company worth billion pound return honest refund p also lost luggage nothing help retrieve tracked week later edinburgh airport picked,United Kingdom,7/8/2023,2,TRUE
ba treating premium economy passenger respect pay premium economy service compelled use economy toilet back plane shortchanging passenger,United Kingdom,7/6/2023,4,FALSE
24 hour departure ba059 cape town heathrow thursday 29th june online checkin seat already allocated wife 41 e f middle two seat central block four totally unsuitable u late 70 getting seat stretch leg go toilet would mean climbing person aisle seat available got heathrow 6 hour departure tried change seat checkin avail although lady sympathetic tried utmost offer u upgrade premium economy 450gbp beyond affordability said try departure gate also failed spoke member flight crew totally unsympathetic economy seat tiny jammed shoulder shoulder wife stranger knee touching seat pocket front 12 hour suffered manage get seat due kindness young lady next aisle mission trying clamber past reclined backrest front ba economy absolutely awful evening meal nearinedible choice spicy food suitable flying especially older person breakfast spanish omelette however bad previous day flown economy malta heathrow malta airline 3 hour trip pleasure seat wide ample legroom british airway,South Africa,7/5/2023,1,TRUE
arrived heathrow 0600 find flight ibiza cancelled ba explanation ’ galling enough customer service ba airport nonexistent explanation apology assistance finding alternative flight ’ managed find another flight stansted ’ much later today thus wasting chunk short trip simply ’ understand ba ’ proactively contact customer notify cancellation work resolve problem shocking customer service,United Kingdom,7/5/2023,1,TRUE
original flight cancelled explanation representative help rebooking call customer service long distance call line kept dropping 40 call find new booking discover way could fly next day paying business class help hotel night stay,Greece,7/4/2023,3,TRUE
airport check functionary little warmth efficiency flight delayed communication given boarding chaotic management process ground staff seat board tight really feel like crammed every seat possible next recline however thankful recline person front even slightest recline would face owing tight seat spaced a321 aircraft amenity flight except toilet clean small ife food beverage unless pay extra staff friendly luggage arrived carousel within short amount time,Italy,7/3/2023,3,FALSE
flight fine inline competitor pleasant crew niggle bussed aircraft heathrow seems like standard berlin flight would use,Senegal,7/2/2023,10,TRUE
came glasgow london took connecting flight american airline london north carolina third day north carolina still waiting luggage didnt even bother transfer luggage connecting flight luggage still glasgow,United States,6/30/2023,1,TRUE
flight 12 may 2023 got delayed hour 25 minute resulted cancellation connection flight 12 may 2023 arrival first flight 15 departure second connecting flight contacted ba call center multiple time make change flight order still arrive 12th may kef airport different flight team tried find solution none made sense even next day 13th may 2023 made full booking accommodation car rental activity etc vacation iceland cancellation booking refundable call center suggested cancel flight full refund claim compensation delay difference airfare cost non refundable booking due delay cancellation flight british airway responded claim month compensation even though paid additional 600 new booking additional charge refund cancelled flight took month multiple calla follow almost every week promised get refund first call later found processed properly everytime call agent ask question flight canceled etc annoying understanding everything process payment multiple call refunded partially full amount even bizarre company level make call get remaining balance refunded whole experience terrible,United Arab Emirates,6/29/2023,1,TRUE
cairo 5 hour flight ba considers short haul everyone crammed knee pressed seat front nothing way inflight entertainment even magazine available wifi pay pay seat choice checked baggage food drink wifi anything im used budget airline premium price ticket would preferred fly easyjet initial ticket would le extra would half price ba app website make really difficult understand extra ended baggage wrong ticket pay extra dont get started customer service helpline board staff ok long cairolondon route spend time break use back row two talk loudly without consideration passenger flyer dont want hassle charge minimal cabin service budget seat could easily provide premium economy option really make difference experience heathrow terminal 5 compound poor experience especially arrival also poorly served transport link especially u live near gatwick abandoned ba frequent flyer many year even ba gold card holder one point know potential experience used able make choice fly budget fly comfortably case flying budget flying budget double price ba,United Kingdom,6/29/2023,2,FALSE
travelling london madrid british airway iberia madrid lima latam cuzco luggage arrived 7 day attempting collect luggage mine one arrive sought help informed make claim online bag finally arrived 7 day later lock forced open everything inside case searched someone emptied 1st aid kit toiletry threw clothing felt violated treated appallingly start finish month back forth british airway yet stated fault,United Kingdom,6/27/2023,1,TRUE
luggage mistagged dallas way cairo via london luggage arrived lhr planned saturday 624 however upon arrival due luggage mistagged incorrect name luggage never sent cairo sitting terminal 3 lhr air tag luggage british airway saying nothing filed 3 claim made 13 phone call hung 3x simple solve problem worker ba refuse solve problem,United States,6/27/2023,1,TRUE
airline lost luggage absolutely awful throughout entire trip gave update website suck nearly impossible get someone phone finally delivered luggage hotel left go back u 5 day told ship back u ’ calling everyday begging get bag back appease phone tell ’ fixing nothing change hotel ’ get touch ’ even tried pick bag back several time called got message saying answering due many complaint call “ call back later ”,United States,6/25/2023,1,TRUE
booked ba website round trip flight seattle amman stop london business class first flight delayed diverted nyc enroute husband experienced medical emergency landed nyc taken hospital stayed constant contact airline agent arranged ambulance transfer evening flew back home confirming cancellation remaining flight agent airport next several week spoke many time ba customer service trying obtain kind refund — met contradictory explanation excuse absence meaningful customer service discovered marked “ noshows ” flight amman return flight still active unable cancel return website despite booking website phone call never returned spent minimum 4060 minute hold every phone call made email received canned reply without answer explanation told “ possible ” receive copy ticketing rule regulation speak supervisor several week abysmal customer service filed complaint faa response complaint received email ba customer service explaining reviewed many request “ full refund ” could accommodated due ticketing rule would issue flight credit except portion noshowed state many credit never asked full refund asked read rule receive partial refund use credit fully refunded travel insurance,United States,6/25/2023,1,TRUE
first time flying ba business class never boarding drink provided meal quality business class standard quality wine arrival bodrum bag among last appear looking forward chaos return flight,United Kingdom,6/25/2023,2,TRUE
buy sandwich crisp dont expect hot meal plane narrow body screen helping matter fact ba prebooking shop food didnt recognise flight number onboard wifi didnt work,United Kingdom,6/24/2023,4,FALSE
